Name,Slot,Ilvl,Unique,Meld Slots,Overmeld,Primary,Secondary
Rinascita Hood of Casting,Head,610,FALSE,2,TRUE,Crit,DH
Ornate Rinascita Coat of Casting,Chest,610,FALSE,5,FALSE,Det,SS
Rinascita Armguards of Casting,Hands,610,FALSE,2,TRUE,Crit,DH
Rinascita Poleyns of Casting,Legs,610,FALSE,2,TRUE,Crit,Det
Rinascita Shoes of Casting,Feet,610,FALSE,2,TRUE,SS,Det
Rinascita Earring of Casting,Ear,610,FALSE,1,TRUE,Crit,DH
Rinascita Necklace of Casting,Neck,610,FALSE,1,TRUE,SS,DH
Rinascita Bracelet of Casting,Wrist,610,FALSE,1,TRUE,DH,SS
Rinascita Ring of Casting,Finger,610,FALSE,1,TRUE,Crit,SS
Augmented Lunar Envoy's Staff,Weapon,630,TRUE,2,FALSE,Det,DH
Augmented Lunar Envoy's Ring,Finger,630,TRUE,2,FALSE,DH,Det
