Name,Slot,Ilvl,Unique,Meld Slots,Overmeld,Primary,Secondary
Diadochos Beret of Casting,Head,640,FALSE,2,TRUE,SS,Det
Diadochos Coat of Casting,Chest,640,FALSE,2,TRUE,Crit,Det
Diadochos Armlets of Casting,Hands,640,FALSE,2,TRUE,DH,Crit
Credendum Hose of Casting,Legs,650,TRUE,2,FALSE,Det,SS
Diadochos Boots of Casting,Feet,640,FALSE,2,TRUE,Crit,SS
Diadochos Earring of Casting,Ear,640,FALSE,1,TRUE,Det,DH
Diadochos Choker of Casting,Neck,640,FALSE,1,TRUE,Crit,Det
Diadochos Wristband of Casting,Wrist,640,FALSE,1,TRUE,DH,SS
Diadochos Ring of Casting,Finger,640,FALSE,1,TRUE,Crit,SS
Diadochos Rod,Weapon,640,FALSE,2,TRUE,SS,Crit
Voidcast Rod,Weapon,645,TRUE,2,FALSE,Crit,SS
